Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
8022,3,0.2209,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",okay great right okay loan growth guide sounds like s soft catery growth underly confidence n sounds like pretty competitive environment
8194,7,0.2209,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",thanks brian understand rate hikes increase function efforts catch competition introductory increase out additional rate hikes
10899,0,0.2209,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",okay companies com request deferrals forget percentage high percentage didn necessarily need insurance clarify provid deferrals scenarios
122,7,0.2208,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",little deposit rates push incremental price rate increases products actually push thanks
269,0,0.2208,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide", thank detail insight particular slide ed percentage folks ask deferrals extremely interest details reserv analysis
1068,7,0.2208,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",okay margin little pressure cost funds magnitude pressure fourth little cost funds mean offsett asset yield attrition
3580,2,0.2208,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",curious balance sheet mean decent borrows cash grew entire borrow balance 
3642,0,0.2208,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",portfolios didn hotel properties written actually terms individual credit basis write downs ones write
3901,5,0.2208,"great, helpful, impact, mention, revenue, understand, line, income, benefit, quick",okay okay helpful terms indicated million tirschwell included sense fees fees tirschwell com fold
3921,4,0.2208,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",efficiency recognize seven s better efficiency efficiency ratio went bill efficiency target earlier noted
4087,0,0.2208,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",great thanks richard scott little little detail specific forbearance programs incurred auto particular long terms peaked little little detail
5980,4,0.2208,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",okay share repurchase authorization n companies signal aggressive say place probably aggressive fall spectrum
8129,2,0.2208,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow", level balance sheet grow remix continues impact balance sheet growth
8494,4,0.2208,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal", mark relat discussion profitability targets desire close peers intent plan investor
10454,2,0.2208,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",quick slides investment portfolio ed invest excess cash liquidity s like happened period balance billion versus average
4438,1,0.2198,"term, market, business, change, mortgage, long, customer, month, sale, strategy",turn jack noted terms loan guidance traditional traditional migration national platform terms current performance surprises equipment finance specialty finance portfolios obviously purchase pandemic curious terms overall credit surprise credit out longer term holistic view businesses
8406,1,0.2198,"term, market, business, change, mortgage, long, customer, month, sale, strategy",layered walk positioned seasonal mortgage companies fixed income cyclical deltas kick n s ed n interest rates seasonality mortgage company generated growth rent offset loan loss allowance tick th inflection seasonality mortgage refis couple s burn seasonality
936,6,0.2197,"expense, high, level, sort, guidance, fourth, base, provision, sound, understand", credit cecl s pretty clear business decisions based economic outcome economic outcomes account outcomes cecl materially change tim change tim earns accrete value capital obviously higher upfront s shift loan pretty materially cards higher loss content total 
4249,6,0.2197,"expense, high, level, sort, guidance, fourth, base, provision, sound, understand",s couple requeue mike line struggl vaccine correct s play little pessimistic guidance n certainly frame vaccine uncertain try reconcile reserves fine sounds like second reserve build high watermark reflect hand wait vaccine mention mexico hav stimulus data s little worse mike confident built reserves second light said mexico vaccine n place 
4268,7,0.2197,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",great od thank s discussions earlier john ed double check expansion guidance fourth include obviously impact od growth citizens access come higher deposit impact fhlb advance billion long term borrows increase spot spot basis fhlb advances increase
9585,4,0.2197,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",okay longer term runway left technology improve citigroup efficiency mark mentioned levers help meet targets rotce target didn mention technology mentioned million spread savs investments investment level runway left short medium long term thanks
2906,2,0.2196,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",od thanks start margin hear say stable gradual increase month libor mimic basis s month impact thoughts asset yields rest obviously fund benefit asset yields continued remix gradual increase margin fund driven
11513,1,0.2196,"term, market, business, change, mortgage, long, customer, month, sale, strategy",morn mike regulatory issue disap read consent orders incentive comp account risk management s practices regulators n changes senior management incentive comp didn prioritize risk management cornerstone crisis changes board senior executives result
639,6,0.2195,"expense, high, level, sort, guidance, fourth, base, provision, sound, understand",okay perfect cost curious thoughts expenses wouldn come originations normalize n virtually cost increase related mortgage volume come fourth continue flex afterward environment sort normalizes elevated level
9076,4,0.2195,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",understand bigger picture deal closed sound positive potential clearly environment changed announced transaction recast earns power advise return potential combined company type environment
9765,7,0.2195,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",great thanks quick interest bear deposits said historically averaged total deposits rate cycles interest bear deposits troughed total deposits average cycle track closer past
521,7,0.2194,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",okay right appreciate switch second deposit total deposit growth fine little shift ris rate environment prepared s note demand deposits seasonally best overall deposit projects forward
1321,5,0.2194,"great, helpful, impact, mention, revenue, understand, line, income, benefit, quick",great presentation spoke retention talent retention management assumed retention revenue producers folks ed retention agreements currently transpir targets als retain people
2513,4,0.2194,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",alright helpful bruce stock sensitive multiple ccar process gett little easier regional banks navigate biggest beneficiaries capital ded legacy stuff change 
3572,4,0.2194,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",understood capital return banks catery sort restricted template carries sort tougher ccar wonder decision tree terms hav ccar theory banks said parameters easier versus sort template
3980,6,0.2194,"expense, high, level, sort, guidance, fourth, base, provision, sound, understand",great thanks stay expense topic minute clear topic say efficiency ratio trend million said tend lighter imply es million core expenses starts trend actual dollar expenses s
4676,4,0.2194,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",thanks s picture bill blackrock sale business returns traditional regional bank wheelhouse wonder potential long term efficiency ratio differently structure company business head long term
5841,4,0.2194,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",capital curious ccar cycle com n little impact cecl regulatory capital levels curious thoughts capital return overall half sort ation wish list continue return plus capital earns
9920,2,0.2194,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",okay okay helpful broadly s indicated continue offsets business general right continue drive performance rate environment holds little specifically balance sheet vince al objective core flat beginn continue core compression try sense
7267,1,0.2193,"term, market, business, change, mortgage, long, customer, month, sale, strategy",switch gears little past skeptical national digital bank strategy competitors ed launch national digital bank evolution thoughts makes sense client acquisition tool deposit gather tool
71,3,0.2192,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",od morn s ed little expenses operat leverage s like delivered basis s positive operat leverage improvement wonder ahead fourth increased magnitude operat leverage widen drivers
611,7,0.2192,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",appreciate margin guidance basis s basis s little surprised core wasn provide little main puts s affect margin rates sort rate sensitivity plays
848,6,0.2192,"expense, high, level, sort, guidance, fourth, base, provision, sound, understand",okay topic mentioned obviously higher mortgage related costs factor higher costs ed technology investments little surprised factor forecast expenses thanks
1059,4,0.2192,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",daryl capital s sense combined capital position mean mean capital return couple ccar cycles answer come assumption approved advance purchase banks 
1815,1,0.2192,"term, market, business, change, mortgage, long, customer, month, sale, strategy",thanks tak ed competitive landscape particular national business lines like mortgage warehouse opportunity market share grow faster rate n market disruption acquisitions
5537,7,0.2192,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",understood mov jerry terms s margin out rate cuts sense terms best rate means margin n view quickly reduce deposit costs 
5823,4,0.2192,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal", capital return s like total ccar obviously little faster pace loaded little imply little flexibility terms upfronts flexibility opportunity stock worth 
6280,4,0.2192,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",mean capital sure deal like cash possible math works better currency especially currency hav od trad earns desire deploy excess capital cash versus benefit currency transaction
6439,2,0.2192,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",yeah thanks od morn s second guidance relates balance sheet assume earn assets track loan growth securities flattish deposits try sense balance sheet second 
7800,0,0.2192,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",od read treasury report changes com capital markets released early october specific items s ed specifically beneficial like changed probability happen happen 
9016,6,0.2192,"expense, high, level, sort, guidance, fourth, base, provision, sound, understand",okay sure mentioned fair like reason obviously range manage reason shoot positive operat leverage like revenues expenses reason shoot 
9428,3,0.2192,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",od morn wonder elaborate terms loans demand commercial corporate consumer obviously industry slowed overall s activity pockets consumer out loan growth near term
10314,2,0.2192,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow", second mean yields earn asset mean gett closer trough yields repric cycle rates stabilized level earn asset yields closer thanks
11164,0,0.2192,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",right measurement consumer business deferrals business customers percentage buckets terms total consumer consumer accounts total business accounts
345,3,0.2191,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention", s s like nice pick loan growth bill little terms changes production better production better paydown commercial consumer thanks
2444,3,0.2191,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",right terms hear s terms better production underly drivers regard construction loan growth particular industries geographies
6529,6,0.2191,"expense, high, level, sort, guidance, fourth, base, provision, sound, understand",thank ed touch base summarize mov pieces expenses mortgage valuation gett right expenses typically netted revenues wouldn grossed expense driv expenses higher particular transition external technology support internal technology support right middle doubl expenses benefit ths roll guided million million reduction expenses fourth dynamic forward like expenses actually drop benefits hav external tech spend long term rates flat valuation situation
912,6,0.219,"expense, high, level, sort, guidance, fourth, base, provision, sound, understand",okay great couple libor disconnect funds sounds like s sort normalize little sort baked guide s track
1304,7,0.219,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",okay great shift gears margin lynn happen spot rate borrow costs june visibility 
2663,0,0.219,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",od morn mentioned energy restaurant lend particularly stressed loss content buckets consider range possibilities economic recovery
4509,7,0.219,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",apologies percentage interest bear deposits tied index reprice immediately funds es
805,4,0.2189,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal", potential capital deployment tangible common equity target consider share repurchases ahead
7597,2,0.2189,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",okay drop cash investment yield little meanful able earn asset yield flat
8844,7,0.2189,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",okay second th deposit fund costs n decline deposit costs past month
10294,3,0.2189,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",helpful thank john commercial pipeline said strong head fourth composition primarily rebound traditional commercial growth
10970,4,0.2189,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",right simply mentioned buybacks mean s like repurchased shares small relative million share authorization
11748,3,0.2189,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",steven little flavor feel od kessel mentioned fairly diverse concentration stand health care probably industry catery predominant probably portfolio small business middle market corporate syndications spread diversified industry concentration absent mention healthcare broad space credit metrics kessel referenced earlier s od small business charge offs mainly legacy accounts yield offsets feel od 
1479,7,0.2188,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase", unwind deposit cost increases said actually reduc deposit cost 
2182,4,0.2185,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",ed start current conceptual mean appreciate s provided board review process sounds like s went late november december challenge wonder curious fixation targets wonder extrapolate little mean like come analyst view s focused profitability block tackl near term target like target clouds little remove focus mean s street investor perspective wonder explore little like decision provide type target 
750,6,0.2184,"expense, high, level, sort, guidance, fourth, base, provision, sound, understand",okay perfect thank quick libor sort watch moved couple basis s impact suggested liquidity levels guidance assumes sort stay main deltas change liquidity excuse liquidity levels mean imagine pace loan growth demand factor materially alter levels
6246,4,0.2184,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal", mean organic perspective like couple areas spend little grow mean mortgage frustrat area s dislocation industry peers like area bigger capital market bulked strength half obviously mega banks gett benefit trad investment bank unusual impairment thoughts organically bolt deals past focus areas
3596,3,0.2183,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention", ed revenue growth guidance kevin sense forma margin start happens margin balance sheet growth turn outs lower ed s confidence terms loan growth like legacy synovus loan growth better versus loan growth come n overall caution kessel mentioned high uncertainty love clarity loan growth particularly come
5224,4,0.2183,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",od morn laid longer term scenarios try grow earns grow return tangible equity consider return assets compared peers target target return assets lower efficiency ratio account relatively high cost funds compared peers
818,2,0.2181,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",like lower loan growth ed mean period loans higher average like guid flat period loan balances deposits period deposit balances higher average guidance mean zero period loan deposit growth
1865,0,0.2181,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",great related credit quality s delinquency rate obviously s solid performance credit quality delinquency rate little higher normal pretty decent pick related tim little indicative rate charge level consistent s targeted thanks
2588,7,0.2181,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",wonder drill margin guidance gave dean terms sounds like implied margin begin expand fourth mean change rate environment like expansion margin terms dynamics like decline fund cost offset decline asset yields forward ations helpful
4157,4,0.2181,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",od morn firm downturn solidly morgan essentially chomp terms appetite buybacks lifts restrictions bill wonder n excess capital sitt lift restrictions second patient terms inorganic opportunities versus buy stock narrower premium tangible stock usually enjoys
6138,0,0.2181,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",hello lunch thank tak s probably editorial n reliance particularly moody covid forecast leasehold adjustments risk counter cyclical starts affect lend decisions obviously portfolio doesn reflect reserve seasonal related moody forecast negative april probably gets worse june affect reserv stuck models affect lend behavior
4379,6,0.218,"expense, high, level, sort, guidance, fourth, base, provision, sound, understand",okay valerie appreciate margin accretion release notes adjusted assumptions accretion january deal closed guidance hold terms recovery accretion relates cecl head heard correctly said yields acquired sort approximate half yields second half correct
8432,4,0.218,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",bill thoughts obviously s invested heavily technology od lightstream share technology spend visualization peers view table ss mean gets ballpark doesn competitive advantage comes execution deliver field competitive advantage
10261,7,0.218,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",ed margin mean like middle half like deposit deposit stand close today versus anticipate continue migrate greater deposits rate hikes result pete mentioned challeng flat margin assume margin drift lower half 
3060,0,0.2179,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide", s loan loss reserve basis s linked basis basis s couple s high basis s energy stuff energy stuff reserve try figure course reserve continue release possibly area
6741,4,0.2179,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",okay bullet s current focus improved technology offers probably fer pulse terms small banker hear bigger banks better technology smaller banks compete hear sellers reason sell reasons
10128,4,0.2179,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",helpful thank buyback mentioned million shares remain current authorization million repurchased curious appetite potentially price sensitivity additional buyback forward need pullback like fourth potentially involved significant sell like
10798,4,0.2179,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",bill mentioned shareholder letter expand markets technological innovation digital bank share actually metrics monitor success hav penetration strategy fashion mentioned mak acquisitions doesn sense today organic growth outsiders measure success
11250,4,0.2179,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",real od insight lastly ed gett dividend payout ratio recognized board directors decision regulators green light inaudible banks dividend payout ratios philosophically green light n regulators
10876,0,0.2178,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",understood helpful understand cecl s regards true reserve terms overall change methodology allowance breakdown qualitative versus quantitative factors change migrate terms historical data 
3354,3,0.2177,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",terms loan growth loan growth sequential growth heard s terms cycle thoughts loan growth mirror n believe ation like loan balances grew 
3821,0,0.2177,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",okay od switch credit discussion loan modifications s outlined slide exactly assum largely concentrated sort worry spots lodg retail restaurant entertainment sector portfolio
4014,7,0.2177,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",helpful sort margin start clear benefit december rate hike particularly margin resets level deposit migration continue deposits ris deposit s revenue guidance 
11803,7,0.2177,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",thanks couple quick ones od overall deposit costs start turn deposit strategies s especially putt national rate try match lower rate asset deposit costs thanks
4129,1,0.2176,"term, market, business, change, mortgage, long, customer, month, sale, strategy",ways linchpin customer relationship gett value today relationship mention different products charg fees rate environment like gett money worth effort gather households
10807,4,0.2176,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal", capital obviously aggressive buybacks heard said earlier out stand mean prices moved potential smaller banks open deals com months s like likelihood deal mak increases n environment gets tougher
816,4,0.2175,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",understood portfolio acquisitions market terms opportunities acquisitions banks banks size market attractive today attractive spoke april
3854,6,0.2175,"expense, high, level, sort, guidance, fourth, base, provision, sound, understand",pete mentioned couple oreo expense dropp comp little elevated coupled items lead drop ly expense rate inaudible drop million comp
4051,5,0.2175,"great, helpful, impact, mention, revenue, understand, line, income, benefit, quick",okay great helpful housekeep item terms amortization realization fees disclosures month amortization realize fees loans forn
12047,4,0.2175,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",thank tak technology strategy measured approach compare approach issue house party people execute metrics progress users active online mobile users thank
596,6,0.2174,"expense, high, level, sort, guidance, fourth, base, provision, sound, understand",ths ed ed start expense million million rate lindsay obviously little wide curious trajectory mean sounds like little optimistic lower half versus half fair read s different direction
745,6,0.2174,"expense, high, level, sort, guidance, fourth, base, provision, sound, understand",okay right credits mean second fairly elevated provision s provision normalize loan rate happen uncertainty hard provision lies provision normalize 
1491,6,0.2174,"expense, high, level, sort, guidance, fourth, base, provision, sound, understand", expenses runn million annualized rate terms like previous guidance guide updat lower guidance terms expense out
2144,7,0.2174,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",margin actually specifically deposits pretty od decline noninterest bear little driver continued shift pace interest bear ed thoughts
3831,0,0.2174,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",okay shareholder s th terms negative credit migration ly event report problems com leveraged problems com restaurant recurr event forward
4407,5,0.2174,"great, helpful, impact, mention, revenue, understand, line, income, benefit, quick",okay perfect accretion tough predict decent step versus impact oprf probably impact curious s budgeted progression accretion income
5130,5,0.2174,"great, helpful, impact, mention, revenue, understand, line, income, benefit, quick",great thanks s margin help core margin contract basis s suggest accretion income model runn higher million accretion income s realize 
8162,1,0.2174,"term, market, business, change, mortgage, long, customer, month, sale, strategy", drivers paydown activity terms products markets wonder long term rates paydown activity abated recent weeks
12186,1,0.2174,"term, market, business, change, mortgage, long, customer, month, sale, strategy",od morn chris discussions hav larger corporate customers related balance sheet versus capital markets change tone conversations months
2492,7,0.2173,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",thanks deposits deposit cost obviously grows second catch exclud rate ed kept equal deposit costs peaked
4302,1,0.2173,"term, market, business, change, mortgage, long, customer, month, sale, strategy", ed touch structured finance business completely benefit tenure drop hold inventory spreads like april tenure hav volatility
11631,0,0.2173,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",okay said potential recession horizon clear say signs feel like general health economy sectors phonetics strong
12035,2,0.2173,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",okay lastly mentioned stock s attractive based forward earns profile s reported annualized cost savs rate imagine headwind normaliz higher credit costs margin gaap margin headwinds declin accretion fund pressures curious biggest driver drivers internally earns inflection biggest driver improved forward earns trajectory
1044,2,0.2172,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",fine okay size balance sheet s like little thoughts size balance sheet loan growth prospects
1971,6,0.2172,"expense, high, level, sort, guidance, fourth, base, provision, sound, understand",understandable appreciate switch expenses based s cost savs s feel od previous expense guidance million million come little higher
2168,7,0.2172,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",okay helpful margin s assum deposit costs s half rate cuts mean continued pressure margin thanks
2265,2,0.2172,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow", margin break terms securities yield restructur liquidity impact try sense boost received restructur securities yield forward
2763,7,0.2172,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",switch terms deposits cost interest bear deposits went declin little pric competition market
2848,4,0.2172,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",elaborate little management announcements relation merger august named managers total concerned mak announced try cultural integration 
5208,4,0.2172,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",okay appreciate david huge share buybacks capital growth acquisitions approach thoughts aggressive stance capital
5465,6,0.2172,"expense, high, level, sort, guidance, fourth, base, provision, sound, understand",expenses topic jamie said expense rationalization efforts weighted bias guidance expenses core expenses growth bias guidance
5513,4,0.2172,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",salt lake city okay like everybody engag national digital bank wars expansion advantage consumer efficiency ratio right advantage expand markets novo press advantage efficient
5840,0,0.2172,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",okay separately credit disclose industries performers s like past dues plus days migration criticized classified
8223,6,0.2172,"expense, high, level, sort, guidance, fourth, base, provision, sound, understand",helpful mov expense million million guidance gave million savs savs million type expense rate fourth little work 
8839,2,0.2172,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",great thank securities portfolio reinvestment rates cash flows securities mean terms environment excess liquidity securities
8991,0,0.2172,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",directionally loan loss provision didn cover charge offs stripp credit card million didn cover million total charge offs forward
9879,1,0.2172,"term, market, business, change, mortgage, long, customer, month, sale, strategy",od brian ed economy research said merrill lynch share business customers say out obviously consumer s speak employment s strong s small business midsized larger businesses
10077,4,0.2172,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",great ed branch closures narrowed terms branches close open area work progress
11295,1,0.2172,"term, market, business, change, mortgage, long, customer, month, sale, strategy",od pivot touched prepared remarks regional bankers s hir states ed conference recently od s investment bank area tak wallet share hires mak globe competitors struggl group s
142,3,0.2171,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",thank od morn s period loan balances strong growth expand drove loan growth rest exclud
6362,2,0.2171,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow",guide assum rest cash deployed securities loan growth br cash balance billion br billion
6556,4,0.217,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",makes sense understand views room speak thoughts address regulatory issues matter spend money fix processes like allude strategic changes business model citigroup forward structural changes potentially com address regulatory issues better position company
2846,3,0.2169,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",thank glad s right s provision earns scott outline revenue unfold course expense mitigation efforts secondly loan growth concerned rich ed improv trends purchase volume auto finance auto finance players production increas lead dealer inventory sell loan growth
11350,7,0.2167,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",regards movements liabilities noticed wholesale deposits went seasonality fund balance sheet specifically period n citizens access come board acceleration deposit growth wholesale deposits decline fourth seasonal aspect shift interest bear deposits wholesale fund
1797,1,0.2165,"term, market, business, change, mortgage, long, customer, month, sale, strategy", john prior cards noted interest percentage grew sell long term obviously prior teaser rate costco teaser rate cards north longer term potential revenue yield card business
8990,7,0.2165,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase", sorry addressed deposit costs heard s ation margin trend higher deposit growth pace loan growth secondarily terms pric competition ths ease pressure deposit pric based competitors
503,0,0.2164,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",okay thanks ed turn out reserve went detailed segment segment appreciated ed understand reserve couple s unfold realize peak unemployment qualitative overlays unemployment feel like baked current reserve level sense s come flex future reserve builds
7293,4,0.2164,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",okay thanks separately combined basis indicated broadly change earns power ation john specifically combined efficiency ratio ation return tangible common equity ation change n backdrop rate environment cetera
1104,5,0.2163,"great, helpful, impact, mention, revenue, understand, line, income, benefit, quick",certainly okay helpful operat expenses sounds like cost saves ahead branch consolidation mov parts salaries benefits line deferred comp million shouldn little improvement branch consolidation ths affect rate
3218,3,0.2163,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",great appreciate s terms loan growth out thoughts past s typically decent loan growth environment tougher banks tend tighten underwrit standards s operat tight standards wonder thoughts unfold today
11034,4,0.2163,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",stay theme investor scale scale smaller banks largest banks forward hear insights investor digital engagement consumer customers percent customers online spend technology 
11182,2,0.2163,"balance, forward, yield, curious, sense, sheet, continue, asset, thought, grow", shift dynamics referr earlier reinvest securities cash flow today noticed short term borrows little high billion average basis fourth closer million wonder episodic rolls clearly immediate supportive
12574,4,0.2163,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",understood okay extent share repurchases luis regards share repurchases terms capital als regards tangible common equity tangible assets long term al share repurchases tool help essentially plug
5250,7,0.2162,"rate, deposit, basis, margin, cost, interest, ation, start, core, increase",thank bill thoughts obviously s ed billion federal reserve clearly weigh interest margin like peers influx deposits customers start deposits head second shift money higher yield tak interest rate risk
7882,5,0.2162,"great, helpful, impact, mention, revenue, understand, line, income, benefit, quick", detailed sure understand s deferred compensation hits interest income expenses million reduction income fully offset expense line page says million benefit qualified deferred comp bullet says million second
9740,3,0.2162,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",growth return assets math said gett adjustments flat growth little better growth average loan average loan growth mean feels like like sle digit growth wonder math work guidance
2811,0,0.2161,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide", yeah wonder s little loan deferrals said ation second deferrals track wonder deferred loans perform downgraded rat perspective feels like s ahead peers terms chang risk rats frame little
5434,0,0.216,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",curious levels darren little levels deferment specifically commercial buckets concern like restaurant curious restaurant hospitality portfolio terms total deferment 
10860,3,0.216,"growth, loan, commercial, strong, feel, trend, leverage, drive, type, mention",great helpful th curious n industry tighten underwrit standards resi mortgage helocs cateries s fairly conservative lend tightened underwrit standards forbearance requests terms industry concentrations thank s
594,4,0.2159,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal",ed start buyback guide says minimum million shares pure authorization little confusion market buyback poised slow like thoughts total capital return ratio versus million level
692,0,0.2159,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide", reserve build obviously tricky proposition try s mentioned bunch moody scenarios weight n moody adverse scenario recovery s assum vernment help stimulus stuff vernment offset obviously duration try magnitude reserve build
942,0,0.2159,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",fair prudent apologies missed prepared remarks related reserve build multiple scenarios variables versus second economic backdrop wrote reserves compare contrast thanks
2061,0,0.2159,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",right decent growth card losses specifically pretty optimistic credit season macro trends positive hold steady credit cards
3065,4,0.2159,"bank, capital, ratio, target, share, opportunity, investment, efficiency, today, deal", regulatory process leadership wonder share terms change receptive regulators period ccar process marked observable change processes versus previous s
3790,0,0.2159,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",card build took reserve card ed stay card wash rate medium term idea feel terms season card loss rates
6329,1,0.2159,"term, market, business, change, mortgage, long, customer, month, sale, strategy",thank s obviously million gain sale revenue month spectacular insight pipeline feel june play sort aberrant outcomes april change flow business obviously return gain sale margins higher
6728,0,0.2159,"credit, portfolio, reserve, loss, consumer, charge, risk, build, card, slide",imagine humor credit build allowance actually went reverse s like provid losses took s natural offset provision charge offs bounced recognition loss provided
10810,5,0.2159,"great, helpful, impact, mention, revenue, understand, line, income, benefit, quick",okay brian second ed focus eliminated track mortgage bank line item income statement fees interested particular business ne buy countrywide supposed major strategic company happened fault great work strategically come business segment actually limited sense line item income statement strategically shift means forward
